Institute,Program,Category,Gender,ClosingRank
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,60
Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,61
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),63
Indian Institute of Technology Mandi,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,64
Indian Institute of Technology Roorkee,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,64
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,65
Indian Institute of Technology Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),EWS,Gender-Neutral,65
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,65
Indian Institute of Technology Guwahati,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,65
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,66
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,66
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,68
Indian Institute of Technology Bombay,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,69
Indian Institute of Technology Indore,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,69
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),69
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL (PwD),Female-only (including Supernumerary),70
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),70
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,70
Indian Institute of Technology Jodhpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,73
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Gender-Neutral,74
Indian Institute of Technology Kanpur,Mathematics and Scientific Computing (4 Years Bachelor of Science),OPEN (PwD),Gender-Neutral,74
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,74
Indian Institute of Technology Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,75
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),76
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),EWS,Gender-Neutral,77
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,77
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology) (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,77
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,78
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),79
Indian Institute of Technology Bombay,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,80
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),ST,Gender-Neutral,80
Indian Institute of Technology Delhi,Chemical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,81
Indian Institute of Technology Madras,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,82
Indian Institute of Technology Delhi,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,84
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),85
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),87
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,87
Indian Institute of Technology Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,87
Indian Institute of Technology (BHU) Varanasi,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,87
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,87
Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),88
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL (PwD),Female-only (including Supernumerary),89
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),ST,Gender-Neutral,90
Indian Institute of Technology (BHU) Varanasi,Mathematics and Computing (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,90
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL (PwD),Female-only (including Supernumerary),90
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,91
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,91
Indian Institute of Technology Bombay,Mechanical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,93
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,93
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,95
Indian Institute of Technology Bombay,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,96
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,97
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology) (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,98
Indian Institute of Technology Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),98
Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,99
Indian Institute of Technology Delhi,Mathematics and Computing (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Gender-Neutral,100
Indian Institute of Technology Delhi,Engineering and Computational Mechanics (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,101
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,102
Indian Institute of Technology Delhi,Mathematics and Computing (5 Years Bachelor and Master of Technology (Dual Degree)),EWS,Gender-Neutral,103
Indian Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,103
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,105
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,106
Indian Institute of Technology Jodhpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,108
Indian Institute of Technology Roorkee,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),ST,Gender-Neutral,108
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),109
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),110
Indian Institute of Technology Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,110
Indian Institute of Technology Delhi,Energy Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,111
Indian Institute of Technology Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),112
Indian Institute of Technology Bombay,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,113
Indian Institute of Technology Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),SC,Gender-Neutral,113
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,114
Indian Institute of Technology Madras,Aerospace Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Gender-Neutral,115
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),EWS,Gender-Neutral,116
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),117
Indian Institute of Technology Roorkee,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),EWS,Gender-Neutral,118
Indian Institute of Technology Roorkee,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,120
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,121
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),122
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),123
Indian Institute of Technology Delhi,Engineering Physics (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,124
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),SC,Gender-Neutral,124
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,125
